PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1054:2014_5_30_6_19,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_6_49,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_7_14,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_7_41,CCSP,1,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_8_30,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_8_5,CCSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1056:2011_6_14_5_49,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_7_1,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_7_48,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_5_8,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_6_15,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_6_39,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_7_5,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_9_50,CCSP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1057:2011_6_15_5_34,CCSP,0,1,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2011_6_15_6_1,CCSP,2,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1057:2011_6_15_6_25,CCSP,2,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2011_6_15_6_47,CCSP,2,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1057:2011_6_15_7_12,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2011_6_15_8_6,CCSP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1057:2014_6_12_5_11,CCSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1057:2014_6_12_5_39,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2014_6_12_6_40,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2014_6_12_6_8,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2014_6_12_7_17,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2014_6_12_7_44,CCSP,1,0,0,0,0,0,0,2,1,0,Y
ABMI:PUBLIC:1057:2014_6_12_8_38,CCSP,1,0,0,0,1,0,0,1,0,1,Y
ABMI:PUBLIC:1057:2014_6_12_9_2,CCSP,3,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_5_33,CCSP,3,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_5_4,CCSP,3,1,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_5_57,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_6_27,CCSP,5,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_6_59,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_7_24,CCSP,0,0,0,0,0,1,0,0,0,1,Y
ABMI:PUBLIC:1057:2015_6_1_7_48,CCSP,1,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_8_37,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_5_30,CCSP,1,2,0,0,0,0,0,0,0,0,Y
