PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1484:2010_6_10_7_43,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2010_6_10_8_1,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2010_6_10_8_19,GRSP,1,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2010_6_10_8_37,GRSP,0,0,0,1,0,0,0,0,1,0,Y
ABMI:PUBLIC:1484:2010_6_10_8_56,GRSP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2010_6_10_9_16,GRSP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1484:2010_6_10_9_36,GRSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_5_35,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_6_26,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_6_44,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_7_2,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_7_20,GRSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_7_40,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1484:2012_6_12_8_20,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_5_28,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_5_47,GRSP,0,0,1,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_5_5,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_6_30,GRSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_6_47,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_6_6,GRSP,1,0,0,0,1,0,0,1,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_7_24,GRSP,3,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_7_45,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1485:2012_6_13_7_6,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1486:2010_6_13_7_52,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1486:2010_6_13_8_13,GRSP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1498:2013_5_27_9_16,GRSP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1502:2013_5_26_6_38,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_5_44,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_6_37,GRSP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_6_57,GRSP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_6_7,GRSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_7_17,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_7_41,GRSP,0,1,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1505:2014_6_16_8_1,GRSP,1,0,0,0,0,0,0,0,0,0,Y
