PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1090:2011_5_29_5_42,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_7_30,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_7_51,VESP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_8_13,VESP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_10_21,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_6_35,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_7_26,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_7_5,VESP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_7_55,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_8_28,VESP,2,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1092:2011_5_23_9_22,VESP,1,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_9_53,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_5_25,VESP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_5_55,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_6_40,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_7_12,VESP,3,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_7_46,VESP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_8_19,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1094:2011_5_26_5_9,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1094:2011_5_26_6_32,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1094:2011_5_26_6_8,VESP,1,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1116:2008_5_27_6_22,VESP,2,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1117:2008_5_28_5_37,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_6_32,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_6_6,VESP,2,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_7_26,VESP,0,1,1,0,0,0,0,0,0,0,Y
